MCH.Merchant Name,FIN.Transaction Amount,FIN.Transaction Date
STADIUM HARDWARE,34.15,8/4/2009
WW GRAINGER,26.4,8/4/2009
MEIJER INC #027 Q01,55.3,8/4/2009
LOWES #01750*,287.52,8/4/2009
RUBBER STAMP & BUTTON,26.68,8/4/2009
STADIUM HARDWARE,9.98,8/4/2009
ORBITZ COM,-217.58,8/4/2009
SWIMOUTLET.COM,-204.95,8/3/2009
CARPENTER BROS HAR,16.99,8/3/2009
SYX*GLOBALINDUSTRIALEQ,372.62,8/3/2009
MEIJER INC #027 Q01,35.98,8/3/2009
3032-YPSI ALLIED BLDG,75.9,8/3/2009
LOWES #00734*,150.76,8/3/2009
ONLINE BATTERIES,212,8/3/2009
4 ALL PROMO'S / K-READ,244.41,8/3/2009
TRI TURF,480,8/3/2009
BEAVER RESEARCH COMPAN,117.01,8/3/2009
ANN ARBOR HANDS ON MUS,17.94,8/1/2009
CLEARWATER POOLS AND S,35.97,7/31/2009
KROGER #605,36.34,7/31/2009
MD BAGEL FRAGEL,51.3,7/31/2009
SPARTAN CHASSIS INC.,200,7/31/2009
ARBOR BREWING COMPANY,41.63,7/31/2009
SWIMOUTLET.COM,455.29,7/31/2009
RADIOSHACK COR00163303,69.99,7/31/2009
RADIOSHACK COR00163303,4.99,7/31/2009
GEMPLER*1013868876,182.16,7/31/2009
STADIUM HARDWARE,33.99,7/31/2009
SUPERIOR PLAY LLC,395,7/31/2009
SPARTAN DISTRIBUTORS,50.46,7/31/2009
DIUBLE EQUIPMENT INC,36.86,7/31/2009
LOWES #00734*,14.84,7/31/2009
FEDEX 072046776233,31.79,7/31/2009
FEDEX 072046776233,31.79,7/31/2009
FEDEX 468685710066890,72.29,7/31/2009
FEDEX 468685710066890,72.3,7/31/2009
LOWES #00734*,23.98,7/31/2009
ICI-DULUX-PAINTS #0265,3.55,7/31/2009
WW GRAINGER,28.04,7/31/2009
W.S. DARLEY & CO.,33.9,7/31/2009
MCNAUGHTON MCKAY ELEC,47.61,7/31/2009
MEIJER INC #64 Q01,29.51,7/30/2009
FISHER SCI CHI,317.36,7/30/2009
FISHER SCI CHI,317.37,7/30/2009
AMTRAK .CO2111000443260,101.1,7/30/2009
DISCOUNT FILING,52,7/30/2009
MICHIGAN INDUSTRIAL BE,243.2,7/30/2009
STADIUM HARDWARE,40.6,7/30/2009
WW GRAINGER,750,7/30/2009
USPS 25028101030400QPS,21.6,7/30/2009
WALGREENS #5842 Q03,3.8,7/30/2009
1-800 MOBILES,44.6,7/30/2009
CSI GEOTURF INC,275.77,7/30/2009
CSI GEOTURF INC,559.91,7/30/2009
REAL SEAFOOD CO,79.15,7/30/2009
STADIUM HARDWARE,54.95,7/30/2009
FERGUSON ENT#933,318.98,7/30/2009
FERGUSON ENT#933,9.26,7/30/2009
LOWES #00734*,19.85,7/30/2009
WW GRAINGER,127.89,7/30/2009
DUNHAMS SPORTS00000448,29.98,7/30/2009
US PARK,40,7/30/2009
DELTA 00625072628055,15,7/30/2009
THE DAVENPORT HOTEL H,646.5,7/30/2009
THE DAVENPORT HOTEL H,621.5,7/30/2009
GFS MKTPLC #0174,21.91,7/29/2009
PITNEY BOWES RENTAL,32.99,7/29/2009
VG KIDS,75,7/29/2009
STAPLES 00115642,46.5,7/29/2009
LOWES #00734*,158.64,7/29/2009
TOMMARK OF ANN ARBOR,557.77,7/29/2009
WOLVERINE SUPPLY CO.,7.34,7/29/2009
SUPERIOR PLAY LLC,59.3,7/29/2009
MCNAUGHTON MCKAY ELEC,120,7/29/2009
WW GRAINGER,48.52,7/29/2009
DIUBLE EQUIPMENT INC,21.93,7/29/2009
AIRGAS GR LAKES,40.82,7/29/2009
REG*MOSWCONFERENCE,225,7/29/2009
TRADER JOE'S #678,30.57,7/29/2009
RECREATION SUPPLY COMP,109.07,7/29/2009
WW GRAINGER,58.64,7/29/2009
LOWES #00734*,-379.2,7/29/2009
LOWES #00734*,412.54,7/29/2009
ARBOR SPRINGS WATER CO,23,7/29/2009
LOWES #00734*,17.07,7/29/2009
PACER800-676-6856IR,10.48,7/28/2009
KNUTSONS RECREATIONAL,97.5,7/28/2009
LOWES #01750*,66.24,7/28/2009
AMZ*AMAZON PAYMENTS,30.69,7/28/2009
WC *JC WHITNEY CATALOG,52.94,7/28/2009
SPARTAN DISTRIBUTORS,95.01,7/28/2009
KROGER #689,121.92,7/28/2009
MY WHITEBOARDS.COM,2621,7/28/2009
LOWES #00734*,425,7/28/2009
WW GRAINGER,881.1,7/28/2009
WW GRAINGER,45,7/28/2009
LOWES #00734*,17,7/28/2009
LOWES #00734*,100,7/28/2009
LOWES #00734*,500,7/28/2009
LOWES #00734*,1500,7/28/2009
LOWES #00734*,900,7/28/2009
LOWES #00734*,75,7/28/2009
SF STRONG INC,710.95,7/28/2009
BGREEN INC,34.39,7/28/2009
SHUTTERSTOCK.COM,249,7/28/2009
LOWES #00734*,6.29,7/28/2009
LOWES #00734*,12.03,7/28/2009
FASTENAL CO-RETAIL,112.88,7/28/2009
STADIUM HARDWARE,13.72,7/28/2009
PARK PLACE HOTEL,336.45,7/28/2009
PARK PLACE HOTEL,224.3,7/28/2009
REG*MOSWCONFERENCE,80,7/28/2009
ROBERTSON'S STRM/SCRN,25.89,7/27/2009
GFS MKTPLC #0868,241.71,7/27/2009
SPARTAN DISTRIBUTORS,831.73,7/27/2009
LOWES #01750*,100.97,7/27/2009
USPS 25028101030400QPS,7,7/27/2009
LAWSON PRODUCTS,291.35,7/27/2009
LOWES #01750*,141.81,7/27/2009
STAPLES 00115642,26.99,7/27/2009
RADIOSHACK COR00163303,58.98,7/27/2009
LOWES #00734*,91.96,7/27/2009
LOWES #00734*,17.83,7/27/2009
WW GRAINGER,125.48,7/27/2009
WW GRAINGER,61.4,7/27/2009
WW GRAINGER,-125.48,7/27/2009
ORBITZ COM,-206.07,7/26/2009
NWA AIR 01221825702440,419.8,7/26/2009
JOANN ETC #2004,19.96,7/25/2009
MEIJER INC #64 Q01,19.98,7/25/2009
KIN*AMERICAN CANOE,40,7/25/2009
BUY.COM,46.86,7/25/2009
DIUBLE EQUIPMENT INC,110.81,7/25/2009
NWTC WEB REGISTRATION,1180,7/24/2009
NWTC WEB REGISTRATION,375,7/24/2009
UNDERGROUND PRINTING,105,7/24/2009
UNDERGROUND PRINTING,111.8,7/24/2009
CARPENTER BROS HAR,19.44,7/24/2009
TARGET 00012856,178.5,7/24/2009
GFS MKTPLC #0868,156.01,7/24/2009
GFS MKTPLC #0868,130.53,7/24/2009
BUY.COM,29.7,7/24/2009
ANN ARBOR MAIL SHOPPE,50.55,7/24/2009
NAPA AUTO PARTS,41.82,7/24/2009
SPARTAN DISTRIBUTORS,29.96,7/24/2009
J & R TRACTOR LLC,176.62,7/24/2009
FENDT BUILDERS SUPPLY,106.85,7/24/2009
THE INNOVATION GROUPS,60,7/24/2009
LARRY'S MOWER SHOP INC,261.91,7/24/2009
KROGER #689,16.57,7/24/2009
LOWES #00734*,78.35,7/24/2009
WW GRAINGER,364.32,7/24/2009
VERISIGN INC*DIGITALID,695,7/24/2009
NWA AIR 01221824833774,359.2,7/24/2009
GOLDEN NUGGET LV-HOTEL,336.74,7/24/2009
ACE BARNES HARDWARE,19.27,7/23/2009
STADIUM HARDWARE,103.96,7/23/2009
KROGER #605,14.59,7/23/2009
ARBOR BREWING COMPANY,47.4,7/23/2009
TARGET 00012856,30.37,7/23/2009
TARGET 00012856,11.2,7/23/2009
TARGET 00012856,-13.98,7/23/2009
DR. DON'S BUTTONS,91.3,7/23/2009
THE LIFEGUARD STORE,166.25,7/23/2009
ZINGERMANBAKEHOUSEINC,121,7/23/2009
STATE DEQ WORKSHOPS,35,7/23/2009
STANLEY STEEMER - 83R,660,7/23/2009
MADISON ELEC A ARBR,36.83,7/23/2009
STADIUM HARDWARE,47.51,7/23/2009
SPEARS FIRE & SAFETY I,30,7/23/2009
CSI GEOTURF INC,1104,7/23/2009
CSI GEOTURF INC,124,7/23/2009
NIVEL PARTS & MANUFACT,1732.02,7/23/2009
PENGAD INC.,47.82,7/23/2009
STADIUM HARDWARE,18.99,7/22/2009
ZINGERMANS COFFEE CO L,218.45,7/22/2009
THE HOME DEPOT 2721,69.79,7/22/2009
W.H. DUFFILL INC.,129.84,7/22/2009
3032-YPSI ALLIED BLDG,452.25,7/22/2009
THE HOME DEPOT 2721,131.05,7/22/2009
GOLDEN NUGGET LV-HOTEL,168.37,7/22/2009
STADIUM HARDWARE,5.96,7/21/2009
NAPA AUTO PARTS,204.89,7/21/2009
WASHTENAW CTY RGSTR DE,26,7/21/2009
WASHTENAW CTY RGSTR DE,46,7/21/2009
PARTS4HEATING.COM,2884.02,7/21/2009
TRADER JOE'S #678,93.39,7/21/2009
RITE AID STORE 4530Q05,101.4,7/21/2009
WALGREENS #5842 Q03,11.43,7/21/2009
JOHN DEERE LANDSCAPES,20.68,7/21/2009
THE HOME DEPOT 2721,27.82,7/21/2009
TURFGRASS INC,610,7/21/2009
DOUGLAS INDUSTRIES,1413,7/21/2009
LOWES #00734*,290,7/21/2009
STADIUM HARDWARE,159.99,7/21/2009
LOWES #01750*,59.25,7/21/2009
ENGLISH GARDENS ANN AR,11.99,7/21/2009
DETROIT POPCORN COMPAN,85.13,7/21/2009
STADIUM HARDWARE,39.99,7/21/2009
VARSITY FORD,45.75,7/21/2009
ACE BARNES HARDWARE IN,7.16,7/20/2009
CLEARWATER POOLS AND S,35.94,7/20/2009
STADIUM HARDWARE,18.45,7/20/2009
PAPA JOHNS #2975.COM,66.36,7/20/2009
INTUIT *18004INTUIT,225,7/20/2009
RUBBER STAMPS UNLTD,64,7/20/2009
XPEDX PAPER & GRAPHICS,418.07,7/20/2009
MEIJER INC #027 Q01,19.64,7/20/2009
JOANN ETC #2004,80.61,7/20/2009
LOWES #01750*,96.32,7/20/2009
STADIUM HARDWARE,27.17,7/20/2009
AIS CONSTRUCTION EQUIP,352.73,7/20/2009
LOWES #00734*,273.34,7/20/2009
COUNTRY MARKET 15,727.35,7/19/2009
RAMADA INN,302.94,7/19/2009
RAMADA INN,302.94,7/19/2009
TRIMET TVM,2.3,7/19/2009
DOUBLETREE HOTELS LLOY,625.52,7/19/2009
NWA AIR 01225028049303,15,7/19/2009
PC *RUSH.COM,487.35,7/18/2009
STADIUM HARDWARE,35.94,7/17/2009
NIVEL PARTS & MANUFACT,47.52,7/17/2009
KROGER #605,35.77,7/17/2009
DONUTS BY LIA - TJ'S,205,7/17/2009
CARPENTER BROS HAR,43.98,7/17/2009
FISHER SCI ATL,141.28,7/17/2009
AKA*ADOLF KIEFER ASSOC,250.96,7/17/2009
TARGET 00006346,40.33,7/17/2009
SUB CHEV CAD SAAB HUM,330.75,7/17/2009
JOHN DEERE LANDSCAPES,28.1,7/17/2009
NAPA AUTO PARTS,34.36,7/17/2009
THE HOME DEPOT 2721,102.53,7/17/2009
COUNTRYSIDE LAWN & GAR,589.97,7/17/2009
SPARTAN DISTRIBUTORS,58.59,7/17/2009
EQUICROSS INC.,899.5,7/17/2009
NTH SOLUTIONS LLC,341.25,7/17/2009
MEIJER INC #64 Q01,23.28,7/17/2009
DUNHAMS SPORTS00000265,7.96,7/17/2009
GFS MKTPLC #0868,69.6,7/17/2009
LOWES #00734*,35.06,7/17/2009
MICH BOOK & SUPPLY #53,21.46,7/17/2009
LABSAFE*1013785803,17.45,7/16/2009
LABSAFE*1013785803,17.46,7/16/2009
ZINGERMANBAKEHOUSEINC,121,7/16/2009
KROGER #790,15.27,7/16/2009
GFS MKTPLC #0868,61.77,7/16/2009
WALGREENS #5842 Q03,10.15,7/16/2009
TRADER JOE'S #678,42.25,7/16/2009
LOWES #00734*,39.96,7/16/2009
LOWES #00734*,19.96,7/16/2009
VOGEL'S LOCK & SAFE,13.5,7/16/2009
SPARTAN DISTRIBUTORS,39.42,7/16/2009
COMMERCIAL BUILDING MA,284.8,7/16/2009
DIUBLE EQUIPMENT INC,99.99,7/16/2009
CARPENTER BROS HAR,43.2,7/16/2009
LOWES #01750*,111.16,7/16/2009
CORRIGAN OIL CO NO 2,647.67,7/16/2009
KROGER #688,22.93,7/16/2009
GREENBACK DOLLAR STORE,13,7/16/2009
KMART 4105,15.16,7/16/2009
SPARTAN CHASSIS INC.,200,7/15/2009
RADISSON HOTELS LA W S,369.81,7/15/2009
WOLVERINE RENTAL AND S,110,7/15/2009
VOGEL'S LOCK & SAFE,13.5,7/15/2009
ANDERSON PAINT COMPANY,85.55,7/15/2009
ZINGERMANS COFFEE CO L,75.71,7/15/2009
TRIMET TVM,2.3,7/15/2009
NWA AIR 01225025954332,15,7/15/2009
SPARTAN DISTRIBUTORS,143.75,7/15/2009
ACE BARNES HARDWARE,23.57,7/15/2009
SPARTAN DISTRIBUTORS,45.27,7/15/2009
FINGERLE LUMBER CO SAL,23.98,7/15/2009
LOWES #01750*,21.93,7/15/2009
SF STRONG INC,237.23,7/15/2009
TRACTOR-SUPPLY-CO #053,192.9,7/15/2009
STADIUM HARDWARE,11.51,7/15/2009
GFS MKTPLC #0868,151.06,7/15/2009
BRONER INC,182.7,7/15/2009
BRONER INC,9.43,7/15/2009
WW GRAINGER,117.46,7/15/2009
THE LAND TRUST ALLIANC,642,7/15/2009
ANDERSON PAINT COMPANY,707.06,7/15/2009
CARPENTER BROS HAR,46.76,7/15/2009
STAPLES 00103846,31.98,7/15/2009
STADIUM HARDWARE,44.96,7/14/2009
TURFGRASS INC,64.66,7/14/2009
SFI*PHOTOSBYSHUTTERFLY,2.64,7/14/2009
STADIUM HARDWARE,27.69,7/14/2009
KNUTSONS RECREATIONAL,76.5,7/14/2009
LOWES #00734*,178.18,7/14/2009
PBI*ACCESS INTELLIGENC,96.44,7/14/2009
FEDERAL PROCESS CORP,30.57,7/14/2009
DISCOUNT-TIRE-CO MIA-0,304,7/14/2009
20 20 WIRELESS,109.9,7/14/2009
LOWES #01750*,251.07,7/14/2009
NAPA AUTO PARTS,51.77,7/14/2009
DUNHAMS SPORTS00000265,55.97,7/14/2009
JACK'S HARDWARE 08,17.58,7/14/2009
STADIUM HARDWARE,77.94,7/14/2009
LOWES #00734*,16.43,7/14/2009
BRONER INC,30,7/14/2009
BRONER INC,6.82,7/14/2009
BOGEN IMAGING INC.,65.36,7/14/2009
THE HOME DEPOT 2721,38.82,7/14/2009
STADIUM HARDWARE,75.58,7/14/2009
STADIUM HARDWARE,44.73,7/14/2009
MARGOLIS NURSERY,182.5,7/13/2009
TRI TURF,972,7/13/2009
CARPENTER BROS HAR,78.23,7/13/2009
MEIJER INC #109 Q01,10,7/13/2009
TARGET 00012856,11.52,7/13/2009
GFS MKTPLC #0868,13.84,7/13/2009
THE HOME DEPOT 2721,100.58,7/13/2009
ATCO MANUFACTURING COM,107,7/13/2009
NAPA AUTO PARTS,148.55,7/13/2009
SPARTAN DISTRIBUTORS,15.68,7/13/2009
TURFGRASS INC,405,7/13/2009
HAAS TRANSMISSION,439,7/13/2009
LOWES #00734*,126.94,7/13/2009
TRACTOR-SUPPLY-CO #053,68.97,7/13/2009
THE HOME DEPOT 2721,89.31,7/13/2009
THE HOME DEPOT 2721,66.22,7/13/2009
STADIUM HARDWARE,18.27,7/13/2009
WASHTENAW CTY RGSTR DE,15,7/13/2009
MEIJER INC #173 Q01,8.74,7/13/2009
MINN PROGRAM DEVELOPME,395,7/13/2009
NWA AIR 01221821231960,453.8,7/13/2009
AVIAT INC,-8.05,7/13/2009
STAPLES 00103846,197.56,7/11/2009
STAPLES 00103846,1.99,7/11/2009
STAPLES 00103846,9.28,7/11/2009
ACE BARNES HARDWARE,27.13,7/11/2009
ARBOR SPRINGS WATER CO,18.02,7/10/2009
BEST BUY MHT 00004085,767.97,7/10/2009
REAL SEAFOOD CO,84.56,7/10/2009
THERMO FISHER 03410057,-163.3,7/10/2009
HILTON GARDEN INN EVNS,588.15,7/10/2009
RITE AID STORE 4519Q05,14.98,7/10/2009
THE LIFEGUARD STORE,400,7/10/2009
THE LIFEGUARD STORE,404.75,7/10/2009
KMART 4105,49.99,7/10/2009
IKEA CANTON,247.74,7/10/2009
STADIUM HARDWARE,19.55,7/10/2009
LARRY'S MOWER SHOP INC,6.38,7/10/2009
HOSFORD AND COMPANY,220,7/10/2009
LOWES #00734*,117.6,7/10/2009
STADIUM HARDWARE,5.64,7/10/2009
RITE AID STORE 4530Q05,39.99,7/10/2009
ACE BARNES HARDWARE IN,17.49,7/9/2009
STADIUM HARDWARE,61.94,7/9/2009
STADIUM HARDWARE,51.98,7/9/2009
NEW LAWN SOD FARM INC,69.5,7/9/2009
DICKS CLOTHING&SPORTIN,99.99,7/9/2009
ANDERSON PAINT COMPANY,79.35,7/9/2009
ZINGERMANBAKEHOUSEINC,120,7/9/2009
STADIUM HARDWARE,80.81,7/9/2009
BOTACH TACTICAL,190.43,7/9/2009
CARQUEST 01061027,42.95,7/9/2009
CUSTOM VALVE REPAIR,1421.6,7/9/2009
LESCO SC 0583,205.68,7/9/2009
STADIUM HARDWARE,37.76,7/9/2009
LOWES #00734*,44.28,7/9/2009
LOWES #00734*,55.86,7/9/2009
KFC-J335-020,56.65,7/9/2009
LOWES #00734*,60.31,7/9/2009
GROSS ELECTRIC INC,44.55,7/9/2009
WINZIP COMPUTING SL,29.95,7/9/2009
NEW LAWN SOD FARM INC,76.5,7/8/2009
GFS MKTPLC #0174,38.91,7/8/2009
WASHTENAW CTY RGSTR DE,23,7/8/2009
FISHER SCI ATL,163.3,7/8/2009
ANN ARBOR ANIMAL HOSPI,37.5,7/8/2009
PEOPLE'S FOOD COOP,4.98,7/8/2009
ZINGERMANS COFFEE CO L,69.05,7/8/2009
THE HOME DEPOT 2721,24.82,7/8/2009
THE HOME DEPOT 2721,14.74,7/8/2009
JOHN DEERE LANDSCAPES,59.72,7/8/2009
HOSFORD AND COMPANY,2550,7/8/2009
LOWES #00734*,218.65,7/8/2009
LOWES #00734*,409.93,7/8/2009
FERGUSON ENT#933,304.1,7/8/2009
DUNHAMS SPORTS00000448,29.98,7/8/2009
MEIJER INC #173 Q01,13.4,7/8/2009
STADIUM HARDWARE,31.48,7/7/2009
LODI FARMS LTD,793.5,7/7/2009
TURFGRASS INC,260,7/7/2009
TURFGRASS INC,2280,7/7/2009
TURFGRASS INC,187.5,7/7/2009
COURT SERVICES,20,7/7/2009
STADIUM HARDWARE,44.37,7/7/2009
INTL SOC ARBORICULTURE,126.22,7/7/2009
TABLEDRAPES.COM,25,7/7/2009
TABLEDRAPES.COM,25,7/7/2009
FINGERLE LUMBER CO SAL,6.47,7/7/2009
PETCO 298 63502983,35.97,7/7/2009
MICHAELS #2108,104.45,7/7/2009
TRADER JOE'S #678,56.72,7/7/2009
ACE BARNES HARDWARE,8.68,7/7/2009
ACE BARNES HARDWARE,11.47,7/7/2009
LOWES #00734*,243.91,7/7/2009
WW GRAINGER,108.9,7/7/2009
WW GRAINGER,296.1,7/7/2009
ATCO MANUFACTURING COM,262.88,7/7/2009
MICHAELS #2108,71.88,7/7/2009
LOWES #00734*,91.92,7/7/2009
LOWES #00734*,44,7/7/2009
BEST BUY MHT 00004085,103.97,7/7/2009
WW GRAINGER,91.08,7/7/2009
WW GRAINGER,91.08,7/7/2009
WW GRAINGER,35.55,7/7/2009
STAPLES 00103846,345.96,7/7/2009
GFS MKTPLC #0868,129.29,7/7/2009
RITE AID STORE 4519Q05,8.46,7/7/2009
STADIUM HARDWARE,18.89,7/6/2009
STADIUM HARDWARE,12.09,7/6/2009
PEN*FIRE ENGINEERING,-29.95,7/6/2009
PEN*FIRE ENGINEERING,-29.95,7/6/2009
USAMILITARYMEDALS COM,631.84,7/6/2009
CAMPUSFOOD.COM,71.23,7/6/2009
ANN ARBOR ANIMAL HOSPI,37.5,7/6/2009
SHELLY PINKERTON CORP,258,7/6/2009
DEXTER MILL,113.6,7/6/2009
SAMS CLUB,155.81,7/6/2009
MICHAELS #2108,85.82,7/6/2009
MEIJER INC #027 Q01,23.49,7/6/2009
TOYS R US #9270,19.98,7/6/2009
LOWES #00734*,225.39,7/6/2009
USPS 25028195520402QPS,39.6,7/6/2009
LOWES #01750*,63.77,7/6/2009
LOWES #00734*,403.52,7/6/2009
STADIUM HARDWARE,96.4,7/6/2009
PAYPAL *PROSCAN,50,7/6/2009
KROGER #605,3.8,7/4/2009
KROGER #605,12.58,7/4/2009
JOANN FABRIC #0176,11.97,7/3/2009
PAYPAL *RADIOREFERE,30,7/3/2009
LANDSENDBUSINESS,110.85,7/3/2009
ALRO STEEL CORPORATION,31.32,7/2/2009
STADIUM HARDWARE,12.99,7/2/2009
STADIUM HARDWARE,68.46,7/2/2009
ACE BARNES HARDWARE IN,69.46,7/2/2009
ACE BARNES HARDWARE,17.99,7/2/2009
SPARTAN DISTRIBUTORS,135.22,7/2/2009
PEN*FIRE ENGINEERING,-29.95,7/2/2009
WW GRAINGER,110.34,7/2/2009
LOGAN,25.26,7/2/2009
MICHIGAN LINE INC.,165,7/2/2009
KROGER #688,7.38,7/2/2009
KMART 4105,19.58,7/2/2009
CARPENTER BROS HAR,8.07,7/2/2009
SEARS ROEBUCK 1390,569.99,7/2/2009
SEARS ROEBUCK 1390,399.99,7/2/2009
REAL SEAFOOD CO,60.7,7/2/2009
LOWES #00734*,217.44,7/2/2009
LOWES #00734*,20.1,7/2/2009
KROGER #605,8.47,7/2/2009
STADIUM HARDWARE,7.96,7/1/2009
ICMA INTERNET,746,7/1/2009
PUBLIC SAFETY MEDIA GR,230,7/1/2009
CAREERBUILDER COM,419,7/1/2009
SUNCOAST IDENTIFICATIO,300,7/1/2009
SUNCOAST IDENTIFICATIO,300,7/1/2009
SUNCOAST IDENTIFICATIO,600,7/1/2009
SUNCOAST IDENTIFICATIO,392,7/1/2009
SUNCOAST IDENTIFICATIO,300,7/1/2009
CARPENTER BROS HAR,2.99,7/1/2009
ZINGERMANS COFFEE CO L,133.25,7/1/2009
DIUBLE EQUIPMENT INC,42.21,7/1/2009
BUSCH'S #1035,29.99,7/1/2009
LOWES #00734*,300,7/1/2009
LOWES #00734*,318.58,7/1/2009
LOWES #00734*,1000,7/1/2009
LOWES #01750*,14.88,7/1/2009
LOWES #00734*,62.39,7/1/2009
GFS MKTPLC #0868,159.36,7/1/2009
FASTENAL CO-RETAIL,38.71,7/1/2009
ALRO STEEL CORPORATION,30.69,7/1/2009
ARBOR SPRINGS WATER CO,23,7/1/2009
VOGEL'S LOCK & SAFE,16,6/30/2009
SPARTAN DISTRIBUTORS,150.1,6/30/2009
HURON CAMERA,565.78,6/30/2009
KMART 4105,28.56,6/30/2009
WW GRAINGER,136.08,6/30/2009
PITNEY BOWES RENTAL,32.99,6/30/2009
AJA,400,6/30/2009
CRYSTAL MTN LODGING,-15.61,6/30/2009
ONLINE BATTERIES,564,6/30/2009
ARBOR VACUUM AND SMALL,319.95,6/30/2009
STAPLES 00115642,72.97,6/30/2009
STAPLES 00115642,72.96,6/30/2009
BENDING BRANCHES/AQUA-,188.96,6/30/2009
BUY.COM,29.55,6/30/2009
GFS MKTPLC #0868,48.43,6/30/2009
LOWES #01750*,326.32,6/30/2009
LOWES #00734*,27.48,6/30/2009
WOLVERINE SUPPLY CO.,129.05,6/30/2009
LARRYS SHOES AND BOOTS,155,6/30/2009
STADIUM HARDWARE,4.83,6/30/2009
NPC*NEW PIG CORP,229.47,6/30/2009
HARBOR FREIGHT TOOLS 1,99.98,6/30/2009
THE HOME DEPOT 2721,125,6/30/2009
STADIUM TROPHY,565,6/30/2009
NAPA AUTO PARTS,-3.82,6/30/2009
PAYPAL *MPELRA,35,6/29/2009
AJA,400,6/29/2009
CRYSTAL MTN LODGING,263,6/29/2009
LOWES #00734*,22.94,6/29/2009
GFS MKTPLC #0868,23.29,6/29/2009
JOANN ETC #2004,41.63,6/29/2009
BUY.COM,128.24,6/29/2009
THE HOME DEPOT 2721,13.01,6/29/2009
THE HOME DEPOT 2721,11.93,6/29/2009
LOWES #01750*,4.97,6/29/2009
CRAZY WISDOM BOOKSTORE,24.95,6/29/2009
S&S WORLDWIDE,108.22,6/29/2009
SOLIDSIGNALCOM,51.93,6/29/2009
NAPA AUTO PARTS,42.44,6/29/2009
NAPA AUTO PARTS,56.51,6/29/2009
OFFICE MAX,153.59,6/29/2009
KROGER #605,11.05,6/29/2009
KROGER #605,15.95,6/29/2009
AFTERNOON DELIGHT,50.88,6/29/2009
ACE BARNES HARDWARE IN,38.47,6/28/2009
STADIUM HARDWARE,8.72,6/28/2009
CARPENTER BROS HAR,21.99,6/27/2009
GRAND HOTEL,-610.35,6/27/2009
THE INN AT STONECLIFFE,393.2,6/27/2009
THE INN AT STONECLIFFE,-188.1,6/27/2009
THE INN AT STONECLIFFE,-23.1,6/27/2009
GRAND HOTEL,175,6/27/2009
MD BAGEL FRAGEL LLC,82.8,6/27/2009
STAPLES 00115642,104.92,6/26/2009
J DAVIS MARKING LLC,1035.9,6/26/2009
ELECTRIFIED DISCOU,305.8,6/26/2009
SHERRILL,1717.95,6/26/2009
TARGET 00012856,203.23,6/26/2009
KROGER #689,17.52,6/26/2009
ACE BARNES HARDWARE,176.88,6/26/2009
STADIUM HARDWARE,44.94,6/26/2009
LARRY'S MOWER SHOP INC,67.73,6/26/2009
LOWES #00734*,13.98,6/26/2009
ELECTRIC TOOL,17.9,6/26/2009
LOWES #00734*,189.24,6/26/2009
WITMER PUBLIC SAFETY G,180.98,6/26/2009
LOWES #01750*,826.97,6/26/2009
WW GRAINGER,217.87,6/26/2009
USPS 25028101030400QPS,44,6/26/2009
STARBUCKS USA 00002QPS,20.3,6/26/2009
HOTEL 71 PARKING,43,6/26/2009
CLUB QUATERS WACKER,183.5,6/26/2009
BORDERS BKS&MU01000017,54.95,6/26/2009
NAPA AUTO PARTS,31.08,6/26/2009
FASTENAL CO-RETAIL,69.01,6/26/2009
CLEARWATER POOLS AND S,97.98,6/26/2009
OREILLY AUTO 00033290,31.78,6/25/2009
OREILLY AUTO 00033290,29.98,6/25/2009
OREILLY AUTO 00033290,-31.78,6/25/2009
STADIUM HARDWARE,9.99,6/25/2009
ZEE MEDICAL 07355142,105.7,6/25/2009
CARPENTER BROS HAR,59.09,6/25/2009
THE HOME DEPOT 2721,13.93,6/25/2009
CROWN PLAZA ST. PAUL,411.09,6/25/2009
MEIJER INC #027 Q01,14.38,6/25/2009
ZINGERMANBAKEHOUSEINC,120,6/25/2009
LOWES #00734*,57.84,6/25/2009
LOWES #01750*,81.39,6/25/2009
#459 ONE NORTH,37.22,6/25/2009
KNUTSONS RECREATIONAL,94.25,6/25/2009
WOLVERINE TRACTOR AND,429,6/25/2009
WW GRAINGER,28.88,6/24/2009
STAPLES 00103846,17.57,6/24/2009
THE HOME DEPOT 2721,125.62,6/24/2009
ZINGERMANS COFFEE CO L,267.3,6/24/2009
JOHN DEERE LANDSCAPES,41.52,6/24/2009
SCHOOL TECH INC,436,6/24/2009
KAI-GARDEN INC,19.26,6/24/2009
LOWES #00734*,32.92,6/24/2009
NEPTUNE BENSON INC,13.37,6/24/2009
OFFICE MAX,40.28,6/24/2009
APT US&C,125,6/24/2009
STADIUM HARDWARE,13.43,6/23/2009
GOLF COURSE SUPERINTEN,320,6/23/2009
GOLF COURSE SUPERINTEN,50,6/23/2009
FIREHOUSE SUBSCRIPTION,24.95,6/23/2009
FIREHOUSE SUBSCRIPTION,24.95,6/23/2009
FIREHOUSE SUBSCRIPTION,24.95,6/23/2009
FIREHOUSE SUBSCRIPTION,24.95,6/23/2009
USPS 25028101030400QPS,6.8,6/23/2009
CRYSTAL MTN LODGING,263,6/23/2009
LESCO SC 0583,846.33,6/23/2009
THE HOME DEPOT 2721,45.22,6/23/2009
LOWES #00734*,99.43,6/23/2009
